,Bacterium_dormant_01,Bacterium_dormant_02,Bacterium_dormant_03,Bacterium_dormant_04,Bacterium_dormant_05,Bacterium_dormant_06,Bacterium_dormant_07,Bacterium_dormant_08,Bacterium_dormant_09,Bacterium_dormant_10,Bacterium_dormant_11,Bacterium_dormant_12,Bacterium_dormant_13,Bacterium_dormant_14,Bacterium_dormant_15,Bacterium_dormant_16,Bacterium_dormant_17,Bacterium_dormant_18,Bacterium_dormant_19,Bacterium_dormant_20,Bacterium_fastresp_01,Bacterium_fastresp_02,Bacterium_fastresp_03,Bacterium_fastresp_04,Bacterium_fastresp_05,Bacterium_fastresp_06,Bacterium_fastresp_07,Bacterium_fastresp_08,Bacterium_fastresp_09,Bacterium_fastresp_10,Bacterium_fastresp_11,Bacterium_fastresp_12,Bacterium_fastresp_13,Bacterium_fastresp_14,Bacterium_fastresp_15,Bacterium_fastresp_16,Bacterium_fastresp_17,Bacterium_fastresp_18,Bacterium_fastresp_19,Bacterium_fastresp_20
S11_age0.43,0.021534918418621724,0.02183840976083371,0.03095549941250191,0.015830790560827642,0.03529628893339826,0.014020207450473594,0.030483492128278722,0.041510296439942695,0.017184619234643705,0.02487422749693626,0.030441900154866978,0.03664003481695083,0.02708834793180887,0.013048263046752513,0.025260967997366875,0.03519831822597845,0.02104583111807224,0.016608095787833746,0.012383813233105313,0.009290889372593885,0.019299601147699855,0.021036821985568294,0.011194149968917178,0.03531921616756089,0.04863203893141541,0.018661314494862923,0.008596853313583815,0.020766632138404493,0.022292660846384097,0.03808930098740521,0.013809100245320099,0.02141315145236294,0.02648342022096961,0.018612013280135085,0.05611655881390018,0.017404696463898625,0.021859590785016265,0.025746736328545433,0.04611276046484494,0.028018170441416614
S12_age0.48,0.029525474483483,0.03040929116695741,0.025917989081531125,0.019823234484788645,0.04119570384941732,0.013695851245194455,0.017451321236247,0.03352936491673571,0.015136008648392955,0.027162324715068686,0.042375828946453066,0.023423570088913666,0.018680346654913672,0.017263265298389646,0.041380177692844355,0.015133828649298336,0.019287102193528142,0.016594115286607043,0.01824492700076265,0.012084166371634135,0.013318867843560633,0.01692577836712262,0.01342475500514905,0.04948566115606428,0.039888271159764815,0.024127338081891846,0.008622796201356798,0.013401864248326565,0.025494109078017763,0.03027761806250481,0.015942823515507413,0.023722123339052374,0.014339592331050444,0.021090596713388917,0.04331677607554829,0.03188937531272072,0.05103293971519,0.039309561106476466,0.018568414014348823,0.02750684666179648
S13_age0.52,0.025671816580977117,0.0275358137624259,0.027273944351793075,0.016232196343113698,0.03105469358649679,0.02064313369569068,0.033808970649630954,0.04774116422361056,0.02064900059242968,0.018449023500128416,0.03431083197682691,0.029791839870370356,0.0342160408775296,0.021745456088118092,0.020307784398218627,0.04050348915704665,0.012563416584969898,0.021610987583140437,0.013942358891920012,0.010323845709492624,0.014980129796027822,0.027606976899942945,0.017204778166863905,0.02808150077425219,0.027324520654071986,0.02013606094317498,0.010490468952586419,0.02004236810610629,0.02906382284723188,0.021034860472019135,0.01753991583262472,0.025181093633238276,0.019236922928961012,0.018756521503090224,0.0501833448992077,0.013062318504674469,0.0326037272889053,0.04290574638028784,0.02523959199507223,0.03094952099773057
S14_age0.57,0.024185351841733708,0.03013171882145419,0.0317327545777383,0.023974643427834848,0.02628773738088825,0.013231892985572332,0.034771458532075535,0.06596934328975163,0.03265679369117818,0.024963745974518642,0.022233309857892403,0.04343895540232909,0.029032891683067504,0.01009858744606858,0.03215677153391262,0.024387903151781527,0.012412294031225134,0.020625394302934242,0.021244359741944663,0.016508994528116244,0.01350241183699301,0.036707919117911526,0.02425244810660445,0.025877433113529594,0.02387060467371283,0.01575033291545588,0.008034122888350674,0.02252352736333664,0.02662600356407793,0.025997617290952436,0.018584718338234572,0.0163254266520078,0.01675414698971167,0.022318957168510255,0.04184164235444442,0.02461567829286123,0.026788965615671487,0.03039170138045832,0.021765504725842485,0.017425935409315176
S15_age0.61,0.01987081471460197,0.04087469975483108,0.028059460933312623,0.025054884893039225,0.01668443202153886,0.02005551284600291,0.027086198280622264,0.0392796655035568,0.014102285181301227,0.02301214258180906,0.04770737856284223,0.03945547917205855,0.027507741037168326,0.02258398660687866,0.03829942408856525,0.01851812296505,0.018969169890677744,0.031093606011479872,0.0195609727731068,0.03212817458300369,0.016739972078153954,0.023284019544908025,0.016211830391729732,0.03168657241822916,0.021052358768937886,0.021463672796537228,0.012420399748270479,0.03311124843153835,0.021788369925735965,0.02377198755883399,0.014376173617672223,0.028507011261558333,0.016342590638679013,0.026313826462548467,0.02559992520417064,0.016608520440164063,0.02167393929429828,0.03921391759422364,0.025290471326620323,0.014639040095743095
S16_age0.65,0.02502186691033937,0.038763824807310485,0.02443669896913659,0.015729456897574445,0.03633397615072475,0.02618102395100094,0.03730878310106396,0.0442320717928304,0.0357851611187811,0.024343419335643095,0.050736003154610625,0.028233851980218654,0.026345416251798,0.02472122779507507,0.026228289564051495,0.048539822899842044,0.021827884184383802,0.021392105249696012,0.01720211123699534,0.018855583834855392,0.014615806738685531,0.01654496425285327,0.012309254824185347,0.03225661658230819,0.040938738548606794,0.034181588708110236,0.009251777356191244,0.01878936625786896,0.031589852980230905,0.02133712384664406,0.009747711702407208,0.018659120598811793,0.017249900703004955,0.012932695932584884,0.01948259703857078,0.010983730952830634,0.025134206875906787,0.02332161367434447,0.016794665755300753,0.021660087484621632
S17_age0.70,0.03747531913448632,0.03219520365335154,0.03319746043282508,0.018900084394143438,0.025006705722790002,0.01765756944050424,0.04366828421617141,0.048995474247884835,0.022385232151851422,0.023748385792612417,0.03529196444612719,0.04298653394951435,0.02175595920756483,0.01795336353947893,0.02860527378494007,0.07740854965179453,0.026383613522323154,0.02666813825721953,0.02064641085007351,0.03580141626604128,0.009873229324639137,0.016104893893685024,0.017361078885013308,0.023777518943560658,0.023989453797516495,0.01576565652202806,0.013910625265019886,0.025070426333762667,0.0218279762986446,0.023732096402221493,0.006845294338944631,0.019335434565006433,0.013218932796645794,0.016457988042784664,0.03230905491542268,0.01345041924012725,0.012179683534388407,0.028098739386255032,0.013035292875759334,0.016925261976876334
S18_age0.74,0.030382375721617658,0.03565716875978499,0.018121563535921384,0.03630911545945426,0.03267086429570162,0.03424697372270781,0.05939079882096524,0.05427550884524762,0.019225491543819494,0.023217751042524506,0.030446573193282138,0.03487791568454367,0.03730883225477133,0.015922248914375572,0.038208547362592306,0.03009068493297802,0.024957752625282176,0.029786559982657532,0.017948893188994917,0.023127265955443007,0.009452007173494838,0.015399542992774677,0.008491142229279559,0.02092465176904181,0.032385088741130226,0.03006606935022868,0.012217794465527392,0.019512813433497367,0.016070945032689295,0.028859321457336544,0.011780111664936168,0.01636143790120066,0.013210419182025127,0.015350112363083007,0.02422913460896191,0.014690709916197647,0.014572452894319446,0.02327637261132418,0.028617768745689057,0.01835921762459718
S19_age0.78,0.0343758019204592,0.04540541030044742,0.03980793078375209,0.02117579860100276,0.030152577955474644,0.03367857506888053,0.039610384566320385,0.05641143600238047,0.04577118224518851,0.025564994908550995,0.0431342065935239,0.03576901281575292,0.05405637061487098,0.01705879057193005,0.030661858435156602,0.039561758093106525,0.028432585018681657,0.036723896925142906,0.028678669210609426,0.01676639125725392,0.012543375866919153,0.015863798125872425,0.01058233980267138,0.022667412895948015,0.015343152432610089,0.010427235155112841,0.007774785826245616,0.010787324181262074,0.01539801121131147,0.020737574811993068,0.012394688987764534,0.023288711515635607,0.012943253240126169,0.009850238295600246,0.021026540095246092,0.011442962552532616,0.013471610563694596,0.026633264852401913,0.013095633333321855,0.010930454365244355
S20_age0.83,0.04335179445751848,0.03912947503749151,0.03691756322712825,0.029044059090717996,0.037346054679968495,0.02775070247285447,0.050061457658255024,0.06024769579065787,0.03491653385020908,0.033767386816579606,0.03017840202602665,0.039308732183243204,0.03570945531700066,0.02940068393083908,0.026516818330518024,0.0662264428809003,0.025415840345120816,0.024207564092109904,0.014100034405474159,0.023591089145556386,0.00975912586663033,0.013492441378862229,0.012054342790039443,0.015940125232480826,0.02039498539293513,0.013664432240364403,0.008102015116733446,0.018384097364097584,0.0308555122273785,0.013963445561105084,0.009792789283457837,0.012211489126210805,0.015436561654525312,0.010307134861579687,0.02085092536075902,0.013407610831447755,0.013469732655770015,0.01771748820954155,0.012894801354300114,0.010113157753610892
S21_age0.87,0.026530566147445853,0.036444847609305726,0.035191089040600955,0.027414353286831325,0.02165396385908398,0.025019353264479894,0.04480264006895528,0.06089700843186093,0.03143267384009086,0.025248816165960954,0.048710618127692736,0.03568479569122803,0.02908413385913581,0.023580766988695122,0.05059935282626817,0.04704159405272172,0.032686349517302885,0.02899303837213157,0.026563945839786846,0.02229420611878029,0.009144313975953987,0.02617768785733779,0.013256205425295388,0.01537231948421056,0.016351793998130425,0.0162833224943447,0.010294660548804095,0.012260576663223279,0.01061022918400231,0.01545625247674822,0.010383973963179197,0.014281467961142586,0.016286936413980938,0.013629400415892296,0.025863274111400582,0.00989521304211952,0.01922564689960115,0.03288705459702675,0.01610337739788135,0.016362179981365937
S22_age0.91,0.03850919051652019,0.059547659300124414,0.02824825763654987,0.028529128422143463,0.036364035070486855,0.03342677255159429,0.034410406735380816,0.05728763909570117,0.030658730563041216,0.032287140387871185,0.0413255376578799,0.03200507807909678,0.03813537084710402,0.03498528308270752,0.029931658143808364,0.04267515024278276,0.02985429354070805,0.026053587472026758,0.023107432659450946,0.020826080790144492,0.01176764334367516,0.02352515198605438,0.016682700059419797,0.015568217810011225,0.018590944488657366,0.014800689245782745,0.007826075626746058,0.018343060633618017,0.011236962583998722,0.019675391707727134,0.009901850222456357,0.018093388071533045,0.012109222248146968,0.010518552242205685,0.021492454629194892,0.014292292771528813,0.015151562176670678,0.021447003951771505,0.011555616867856175,0.009252786537822251
S23_age0.96,0.04500749070598512,0.046642970654330124,0.03580497961656543,0.02998285441626053,0.04111354663733827,0.026169390489784037,0.03268499374192789,0.05085349481789613,0.04203214700799535,0.023743992904528,0.054336252513481856,0.03581506751001188,0.03046126889795024,0.038050554232161506,0.0362640018974171,0.03407988068983033,0.02436496703833465,0.04018949276051497,0.029121786447942322,0.024364867306637936,0.009682118727580952,0.015699584292396943,0.009031938681822985,0.016623129974764717,0.01488233296656126,0.012247299193972024,0.006730711448285847,0.012672030225436962,0.014289340922484163,0.013163917555750849,0.008827547704099449,0.016017043091490806,0.011649869099755622,0.014008304383193311,0.02437376219890668,0.013172925130162754,0.022905479789500267,0.01524740056749071,0.01462019764439838,0.013071066115051506
S24_age1.00,0.05492954477034112,0.057360824912724935,0.023931856242973594,0.02498225969225251,0.038620454858285934,0.0346275279796086,0.04456442579056152,0.052220122787066454,0.03669203509530799,0.036968741492738474,0.04216006422076373,0.0508697942685881,0.02475534143495658,0.03408061888587249,0.03058359306389841,0.05460626004756134,0.025862567345645522,0.028287663033198733,0.025382549624394637,0.02287251644005119,0.007327246738821764,0.009605688882587478,0.01009847071004158,0.016473746012095034,0.017785439870068948,0.01292946558255585,0.00916111854234198,0.01222528245651358,0.013515054824809076,0.01608081593883605,0.011748572956511662,0.011552039008921117,0.010393754271744366,0.011025508889656463,0.018474024236619545,0.009512643971960829,0.016980369722294754,0.01604829653971471,0.013212663846974363,0.011491035010139077
